"","category_name_short","total_raw_visits_feb","total_raw_visitors_feb","Cum_Risk_Metric_low_dens_feb","Cum_Risk_Metric_high_dens_feb","over65_total_raw_visits_feb","over65_total_raw_visitors_feb","over65_Cum_Risk_Metric_low_dens_feb","over65_Cum_Risk_Metric_high_dens_feb","median_distance_travel_fromhome","full_preferences","employement","annual_payroll","preliminary_receipts","log_visits_change_feb_to_mar"
"1","Amusement parks",19401633,9183966.5,26.660842,21.30893,3450593.8,1608943,4.6141873,3.6906962,195127.597937893,0.21595149,213160,4814167,20140373,-0.377530780423349
"2","Auto Dealers & Repair",155500000,83897590,315.68249,141.10252,27891561,15013772,55.048036,24.396877,16395.4857969121,0.60306721,2775178,119600000,1.223e+09,-0.0027494926270073
"3","Banks & Finance",39967707,21672272,107.85321,53.12682,7019103.2,3831827.7,17.860402,8.6104568,11306.8514092524,0.79318182,2866657,349300000,1.164e+09,-0.0211186358858875
"4","Barbers & Salons",27897610,14678453,180.56084,81.200074,5008008.4,2623802.9,32.119992,14.41211,15398.5416092437,0.49486378,706954,15487353,39714317,-0.0747534686716698
"5","Book stores",24099345,13884295,37.445471,16.678079,4207468.4,2430343.9,6.6342498,2.9742375,38858.7173222869,0.41015992,78953,1211522,9444406,-0.304796762308182
"6","Cafes, Juice Bars, and Dessert Parlors ",210400000,132200000,1048.8796,637.29199,36193799,22770004,177.24109,106.71222,33445.910807473,0.46284691,725803,11401536,44273379,-0.186845906454309
"7","Clothing and shoe stores",70199285,50023145,109.09843,64.496962,12228074,8701217.9,19.136614,11.397324,38606.5800408435,0.55016332,1636019,27945076,224900000,-0.26501603024872
"8","Colleges and Universities",103500000,21352693,31.186076,19.435995,17901217,3695025.2,5.2049501,3.177795,16383.8347205091,0.54939107,1867444,79061364,266400000,-0.615343255433888
"9","Dentists",33444367,20302718,121.23614,61.449016,5937318.3,3599944.6,21.075436,10.458016,12255.9099276067,0.66443552,945933,47236339,125900000,-0.0840456641646625
"10","Department Stores",82224461,59494921,7.8235167,5.0166888,14481708,10474291,1.3396207,0.84803333,13781.1043461008,0.64398148,476826,9699500,65913765,-0.18051812879607
"11","Electronics stores",24523792,14514769,58.245632,27.74157,4247931.9,2516907.1,10.078786,4.7232865,18191.6498559242,0.44882246,320956,10313187,90264751,-0.105917008642805
"12","Sit Down Restaurants",726900000,489600000,3555.6407,2001.1925,127900000,85938154,598.35326,331.1037,31207.3881166142,0.53409091,5495597,1.08e+08,301300000,-0.258468204270223
"13","Furniture and home goods stores",41001919,25918138,53.787676,21.055577,7282981.2,4588866.1,9.2731448,3.4529229,15098.9533407449,0.42672811,460500,14647830,112400000,-0.134806013971914
"14","Casinos",17891989,9116720.8,12.21284,7.3272108,3327077.1,1694084.8,2.1039769,1.2146488,173276.175596257,0.13857338,563105,19653228,91894021,-0.456070037774051
"15","General Merchandise Stores",290900000,168300000,56.632902,27.819954,53837117,30865764,10.210634,4.9790412,14079.1682103406,0.85141294,2225762,55352648,597600000,0.109564563083417
"16","Grocery stores (Supermarkets and Convenience stores)",261800000,1.53e+08,341.48929,180.17119,47646815,27729681,58.032103,30.194937,13475.6041517467,0.92484248,2798138,65080539,643100000,0.153604475321654
"17","Gyms",246800000,1.15e+08,343.98827,175.98487,42541027,19790153,57.4508,29.06322,18148.6316585803,0.35505319,727173,10576722,33144736,-0.331204638190314
"18","Hardware stores",86191101,50022717,146.05566,57.44797,15900146,9210947.8,25.733492,10.091478,13082.3707971591,0.59257642,144754,3735873,24988767,0.190496260489681
"19","Fast Food",404100000,277600000,1137.3955,621.61288,71424921,48928823,192.8213,103.90799,17050.4512966185,0.66515014,4449845,65515497,253400000,-0.0879099356588959
"20","Liquor and Tobacco stores",47882217,30474481,111.49652,48.915503,8497523.9,5394359.9,19.264051,8.2949412,25570.1813343471,0.35351304,212036,4622325,61297855,-0.045386776562033
"21","Movie theaters",14313304,9823063.7,7.538723,3.4736572,2469827.1,1691411.1,1.2622305,0.57141178,35203.2325628229,0.30731707,145425,1884653,15760645,-0.495065064106498
"22","Museums",14052369,6667232.8,30.732355,17.330628,2460475.8,1170557.9,5.3292503,2.9167852,56800.8499099976,0.27898383,97351,3467782,13279778,-0.446540658295199
"23","Office supply stores",17838442,10893851,25.426691,13.357981,3150416.9,1927713.3,4.4919341,2.4101775,13130.5249893395,0.45529574,70095,1404604,13027356,-0.0700619144746426
"24","Pet and pet supplies stores",45034219,29102985,94.202035,40.332732,8031072.5,5182515.8,16.682554,7.0394064,10168.3852439029,0.54249548,114276,2501211,17705195,-0.060349664721759
"25","Places of worship",110700000,45530851,244.53894,125.46381,19916000,8144884.8,42.420288,21.280025,13144.4203449048,0.52860412,1690378,37597190,1.52e+08,-0.231619992520123
"26","Sporting goods stores",58658538,37870405,127.58138,67.399169,10648082,6842935.7,24.836059,13.49633,62957.6913911832,0.28688899,240816,5354791,44989278,-0.136710654304803
